YEAR,NAME,ROA,ROE,CTV, SIZE ,TANG,AG,DEPOSIT,LOAN,INF,GDP
" 2,014 ",ABB, 0.002 , 0.020 , 0.915 ,-0.038 , 0.015 , 0.171 , 0.669 , 0.378 , 0.041 , 0.064 
" 2,015 ",ABB, 0.001 , 0.016 , 0.910 ,-0.041 , 0.015 ,-0.046 , 0.738 , 0.474 , 0.006 , 0.070 
" 2,016 ",ABB, 0.004 , 0.042 , 0.921 ,-0.036 , 0.011 , 0.152 , 0.700 , 0.529 , 0.027 , 0.067 
" 2,017 ",ABB, 0.006 , 0.082 , 0.928 ,-0.033 , 0.010 , 0.139 , 0.708 , 0.558 , 0.035 , 0.069 
" 2,018 ",ABB, 0.008 , 0.110 , 0.924 ,-0.034 , 0.011 , 0.065 , 0.713 , 0.573 , 0.035 , 0.075 
" 2,019 ",ABB, 0.010 , 0.136 , 0.924 ,-0.035 , 0.009 , 0.140 , 0.729 , 0.547 , 0.028 , 0.074 
" 2,020 ",ABB, 0.010 , 0.133 , 0.923 ,-0.035 , 0.008 , 0.135 , 0.671 , 0.538 , 0.032 , 0.029 
" 2,021 ",ABB, 0.013 , 0.151 , 0.903 ,-0.044 , 0.008 , 0.039 , 0.655 , 0.564 , 0.018 , 0.026 
" 2,022 ",ABB, 0.011 , 0.109 , 0.900 ,-0.046 , 0.008 , 0.076 , 0.706 , 0.622 , 0.032 , 0.081 
" 2,023 ",ABB, 0.003 , 0.034 , 0.917 ,-0.038 , 0.007 , 0.246 , 0.713 , 0.597 , 0.033 , 0.050 
" 2,024 ",ABB, 0.003 , 0.043 , 0.921 ,-0.036 , 0.006 , 0.090 , 0.622 , 0.549 , 0.036 , 0.071 
" 2,014 ",ACB, 0.005 , 0.076 , 0.931 ,-0.031 , 0.016 , 0.078 , 0.878 , 0.639 , 0.041 , 0.064 
" 2,015 ",ACB, 0.005 , 0.082 , 0.937 ,-0.028 , 0.012 , 0.122 , 0.884 , 0.658 , 0.006 , 0.070 
" 2,016 ",ACB, 0.006 , 0.099 , 0.940 ,-0.027 , 0.012 , 0.160 , 0.914 , 0.692 , 0.027 , 0.067 
" 2,017 ",ACB, 0.008 , 0.141 , 0.944 ,-0.025 , 0.011 , 0.217 , 0.873 , 0.692 , 0.035 , 0.069 
" 2,018 ",ACB, 0.017 , 0.277 , 0.936 ,-0.029 , 0.010 , 0.158 , 0.845 , 0.692 , 0.035 , 0.075 
" 2,019 ",ACB, 0.017 , 0.246 , 0.928 ,-0.033 , 0.010 , 0.165 , 0.858 , 0.694 , 0.028 , 0.074 
" 2,020 ",ACB, 0.019 , 0.243 , 0.920 ,-0.036 , 0.009 , 0.159 , 0.844 , 0.694 , 0.032 , 0.029 
" 2,021 ",ACB, 0.020 , 0.239 , 0.915 ,-0.039 , 0.007 , 0.187 , 0.778 , 0.675 , 0.018 , 0.026 
" 2,022 ",ACB, 0.024 , 0.265 , 0.904 ,-0.044 , 0.007 , 0.152 , 0.754 , 0.673 , 0.032 , 0.081 
" 2,023 ",ACB, 0.024 , 0.248 , 0.901 ,-0.045 , 0.007 , 0.182 , 0.744 , 0.671 , 0.033 , 0.050 
" 2,024 ",ACB, 0.021 , 0.217 , 0.903 ,-0.044 , 0.006 , 0.202 , 0.740 , 0.664 , 0.036 , 0.071 
" 2,014 ",BAB, 0.005 , 0.074 , 0.928 ,-0.032 , 0.004 , 0.137 , 0.819 , 0.631 , 0.041 , 0.064 
" 2,015 ",BAB, 0.006 , 0.083 , 0.921 ,-0.036 , 0.003 , 0.110 , 0.841 , 0.650 , 0.006 , 0.070 
" 2,016 ",BAB, 0.007 , 0.093 , 0.924 ,-0.035 , 0.009 , 0.197 , 0.798 , 0.628 , 0.027 , 0.067 
" 2,017 ",BAB, 0.007 , 0.099 , 0.931 ,-0.031 , 0.007 , 0.209 , 0.701 , 0.598 , 0.035 , 0.069 
" 2,018 ",BAB, 0.007 , 0.101 , 0.927 ,-0.033 , 0.007 , 0.057 , 0.761 , 0.653 , 0.035 , 0.075 
" 2,019 ",BAB, 0.007 , 0.101 , 0.928 ,-0.033 , 0.006 , 0.112 , 0.763 , 0.670 , 0.028 , 0.074 
" 2,020 ",BAB, 0.005 , 0.073 , 0.929 ,-0.032 , 0.006 , 0.086 , 0.788 , 0.671 , 0.032 , 0.029 
" 2,021 ",BAB, 0.006 , 0.083 , 0.924 ,-0.034 , 0.006 , 0.022 , 0.824 , 0.697 , 0.018 , 0.026 
" 2,022 ",BAB, 0.007 , 0.088 , 0.924 ,-0.034 , 0.006 , 0.075 , 0.813 , 0.723 , 0.032 , 0.081 
" 2,023 ",BAB, 0.006 , 0.083 , 0.929 ,-0.032 , 0.007 , 0.182 , 0.825 , 0.648 , 0.033 , 0.050 
" 2,024 ",BAB, 0.006 , 0.089 , 0.929 ,-0.032 , 0.006 , 0.087 , 0.837 , 0.654 , 0.036 , 0.071 
" 2,014 ",BID, 0.008 , 0.151 , 0.948 ,-0.023 , 0.010 , 0.186 , 0.708 , 0.675 , 0.041 , 0.064 
" 2,015 ",BID, 0.008 , 0.168 , 0.950 ,-0.022 , 0.010 , 0.308 , 0.741 , 0.695 , 0.006 , 0.070 
" 2,016 ",BID, 0.007 , 0.143 , 0.956 ,-0.019 , 0.010 , 0.183 , 0.788 , 0.709 , 0.027 , 0.067 
" 2,017 ",BID, 0.006 , 0.149 , 0.959 ,-0.018 , 0.009 , 0.195 , 0.785 , 0.712 , 0.035 , 0.069 
" 2,018 ",BID, 0.006 , 0.146 , 0.958 ,-0.018 , 0.008 , 0.092 , 0.784 , 0.744 , 0.035 , 0.075 
" 2,019 ",BID, 0.006 , 0.129 , 0.948 ,-0.023 , 0.007 , 0.135 , 0.790 , 0.740 , 0.028 , 0.074 
" 2,020 ",BID, 0.005 , 0.092 , 0.947 ,-0.023 , 0.007 , 0.018 , 0.850 , 0.788 , 0.032 , 0.029 
" 2,021 ",BID, 0.007 , 0.131 , 0.951 ,-0.022 , 0.006 , 0.162 , 0.854 , 0.752 , 0.018 , 0.026 
" 2,022 ",BID, 0.009 , 0.193 , 0.951 ,-0.022 , 0.005 , 0.204 , 0.769 , 0.700 , 0.032 , 0.081 
" 2,023 ",BID, 0.010 , 0.194 , 0.947 ,-0.024 , 0.005 , 0.085 , 0.823 , 0.755 , 0.033 , 0.050 
" 2,024 ",BID, 0.010 , 0.191 , 0.948 ,-0.023 , 0.004 , 0.200 , 0.780 , 0.731 , 0.036 , 0.071 
" 2,014 ",BVB, 0.007 , 0.050 , 0.871 ,-0.060 , 0.015 , 0.118 , 0.571 , 0.498 , 0.041 , 0.064 
" 2,015 ",BVB, 0.002 , 0.016 , 0.886 ,-0.053 , 0.013 , 0.126 , 0.642 , 0.542 , 0.006 , 0.070 
" 2,016 ",BVB, 0.000 , 0.001 , 0.898 ,-0.047 , 0.010 , 0.116 , 0.760 , 0.643 , 0.027 , 0.067 
" 2,017 ",BVB, 0.001 , 0.010 , 0.916 ,-0.038 , 0.017 , 0.232 , 0.677 , 0.621 , 0.035 , 0.069 
" 2,018 ",BVB, 0.002 , 0.028 , 0.926 ,-0.033 , 0.016 , 0.167 , 0.720 , 0.630 , 0.035 , 0.075 
" 2,019 ",BVB, 0.003 , 0.035 , 0.928 ,-0.032 , 0.023 , 0.113 , 0.727 , 0.647 , 0.028 , 0.074 
" 2,020 ",BVB, 0.003 , 0.042 , 0.936 ,-0.029 , 0.021 , 0.179 , 0.763 , 0.643 , 0.032 , 0.029 
" 2,021 ",BVB, 0.004 , 0.058 , 0.939 ,-0.027 , 0.016 , 0.252 , 0.730 , 0.597 , 0.018 , 0.026 
" 2,022 ",BVB, 0.005 , 0.076 , 0.937 ,-0.028 , 0.018 , 0.033 , 0.754 , 0.634 , 0.032 , 0.081 
" 2,023 ",BVB, 0.001 , 0.010 , 0.934 ,-0.030 , 0.017 , 0.112 , 0.764 , 0.648 , 0.033 , 0.050 
" 2,024 ",BVB, 0.003 , 0.052 , 0.941 ,-0.027 , 0.015 , 0.178 , 0.724 , 0.649 , 0.036 , 0.071 
" 2,014 ",CTG, 0.009 , 0.105 , 0.916 ,-0.038 , 0.013 , 0.147 , 0.649 , 0.659 , 0.041 , 0.064 
" 2,015 ",CTG, 0.008 , 0.103 , 0.928 ,-0.032 , 0.011 , 0.179 , 0.659 , 0.684 , 0.006 , 0.070 
" 2,016 ",CTG, 0.008 , 0.116 , 0.936 ,-0.029 , 0.011 , 0.217 , 0.716 , 0.691 , 0.027 , 0.067 
" 2,017 ",CTG, 0.007 , 0.120 , 0.942 ,-0.026 , 0.010 , 0.154 , 0.708 , 0.714 , 0.035 , 0.069 
" 2,018 ",CTG, 0.005 , 0.081 , 0.942 ,-0.026 , 0.010 , 0.063 , 0.749 , 0.732 , 0.035 , 0.075 
" 2,019 ",CTG, 0.008 , 0.131 , 0.938 ,-0.028 , 0.009 , 0.066 , 0.766 , 0.743 , 0.028 , 0.074 
" 2,020 ",CTG, 0.011 , 0.169 , 0.936 ,-0.029 , 0.008 , 0.081 , 0.783 , 0.747 , 0.032 , 0.029 
" 2,021 ",CTG, 0.010 , 0.159 , 0.939 ,-0.027 , 0.007 , 0.142 , 0.801 , 0.721 , 0.018 , 0.026 
" 2,022 ",CTG, 0.010 , 0.168 , 0.940 ,-0.027 , 0.006 , 0.181 , 0.741 , 0.689 , 0.032 , 0.081 
" 2,023 ",CTG, 0.010 , 0.171 , 0.938 ,-0.028 , 0.005 , 0.124 , 0.751 , 0.711 , 0.033 , 0.050 
" 2,024 ",CTG, 0.012 , 0.186 , 0.938 ,-0.028 , 0.004 , 0.174 , 0.737 , 0.707 , 0.036 , 0.071 
" 2,014 ",EIB, 0.000 , 0.004 , 0.913 ,-0.040 , 0.033 ,-0.051 , 0.648 , 0.535 , 0.041 , 0.064 
" 2,015 ",EIB, 0.000 , 0.003 , 0.895 ,-0.048 , 0.038 ,-0.225 , 0.812 , 0.672 , 0.006 , 0.070 
" 2,016 ",EIB, 0.002 , 0.023 , 0.896 ,-0.048 , 0.026 , 0.032 , 0.818 , 0.666 , 0.027 , 0.067 
" 2,017 ",EIB, 0.006 , 0.059 , 0.905 ,-0.044 , 0.022 , 0.160 , 0.807 , 0.671 , 0.035 , 0.069 
" 2,018 ",EIB, 0.004 , 0.045 , 0.903 ,-0.045 , 0.023 , 0.022 , 0.778 , 0.675 , 0.035 , 0.075 
" 2,019 ",EIB, 0.005 , 0.057 , 0.906 ,-0.043 , 0.021 , 0.098 , 0.831 , 0.670 , 0.028 , 0.074 
" 2,020 ",EIB, 0.007 , 0.066 , 0.895 ,-0.048 , 0.021 ,-0.042 , 0.835 , 0.620 , 0.032 , 0.029 
" 2,021 ",EIB, 0.006 , 0.056 , 0.893 ,-0.049 , 0.020 , 0.034 , 0.828 , 0.683 , 0.018 , 0.026 
" 2,022 ",EIB, 0.017 , 0.154 , 0.889 ,-0.051 , 0.018 , 0.116 , 0.803 , 0.698 , 0.032 , 0.081 
" 2,023 ",EIB, 0.011 , 0.101 , 0.889 ,-0.051 , 0.018 , 0.088 , 0.786 , 0.690 , 0.033 , 0.050 
" 2,024 ",EIB, 0.015 , 0.140 , 0.895 ,-0.048 , 0.016 , 0.190 , 0.744 , 0.681 , 0.036 , 0.071 
" 2,014 ",HDB, 0.005 , 0.054 , 0.908 ,-0.042 , 0.005 , 0.154 , 0.693 , 0.417 , 0.041 , 0.064 
" 2,015 ",HDB, 0.006 , 0.066 , 0.908 ,-0.042 , 0.008 , 0.070 , 0.774 , 0.525 , 0.006 , 0.070 
" 2,016 ",HDB, 0.007 , 0.092 , 0.934 ,-0.030 , 0.009 , 0.411 , 0.761 , 0.541 , 0.027 , 0.067 
" 2,017 ",HDB, 0.012 , 0.158 , 0.922 ,-0.035 , 0.008 , 0.260 , 0.688 , 0.546 , 0.035 , 0.069 
" 2,018 ",HDB, 0.016 , 0.203 , 0.922 ,-0.035 , 0.007 , 0.141 , 0.662 , 0.564 , 0.035 , 0.075 
" 2,019 ",HDB, 0.018 , 0.216 , 0.911 ,-0.040 , 0.004 , 0.062 , 0.658 , 0.631 , 0.028 , 0.074 
" 2,020 ",HDB, 0.017 , 0.206 , 0.923 ,-0.035 , 0.003 , 0.391 , 0.655 , 0.553 , 0.032 , 0.029 
" 2,021 ",HDB, 0.019 , 0.233 , 0.918 ,-0.037 , 0.004 , 0.174 , 0.603 , 0.536 , 0.018 , 0.026 
" 2,022 ",HDB, 0.021 , 0.235 , 0.906 ,-0.043 , 0.003 , 0.111 , 0.624 , 0.626 , 0.032 , 0.081 
" 2,023 ",HDB, 0.020 , 0.242 , 0.923 ,-0.035 , 0.002 , 0.447 , 0.700 , 0.563 , 0.033 , 0.050 
" 2,024 ",HDB, 0.020 , 0.257 , 0.919 ,-0.037 , 0.003 , 0.158 , 0.744 , 0.626 , 0.036 , 0.071 
" 2,014 ",KLB, 0.008 , 0.051 , 0.854 ,-0.068 , 0.041 , 0.081 , 0.717 , 0.580 , 0.041 , 0.064 
" 2,015 ",KLB, 0.007 , 0.049 , 0.867 ,-0.062 , 0.041 , 0.096 , 0.793 , 0.635 , 0.006 , 0.070 
" 2,016 ",KLB, 0.004 , 0.036 , 0.890 ,-0.051 , 0.043 , 0.203 , 0.752 , 0.644 , 0.027 , 0.067 
" 2,017 ",KLB, 0.006 , 0.058 , 0.905 ,-0.043 , 0.038 , 0.226 , 0.700 , 0.655 , 0.035 , 0.069 
" 2,018 ",KLB, 0.006 , 0.064 , 0.911 ,-0.040 , 0.035 , 0.133 , 0.697 , 0.691 , 0.035 , 0.075 
" 2,019 ",KLB, 0.001 , 0.018 , 0.926 ,-0.033 , 0.030 , 0.208 , 0.668 , 0.649 , 0.028 , 0.074 
" 2,020 ",KLB, 0.002 , 0.033 , 0.932 ,-0.031 , 0.026 , 0.121 , 0.749 , 0.601 , 0.032 , 0.029 
" 2,021 ",KLB, 0.011 , 0.179 , 0.944 ,-0.025 , 0.017 , 0.463 , 0.617 , 0.454 , 0.018 , 0.026 
" 2,022 ",KLB, 0.006 , 0.110 , 0.940 ,-0.027 , 0.016 , 0.023 , 0.609 , 0.514 , 0.032 , 0.081 
" 2,023 ",KLB, 0.007 , 0.105 , 0.934 ,-0.030 , 0.016 , 0.014 , 0.694 , 0.588 , 0.033 , 0.050 
" 2,024 ",KLB, 0.010 , 0.144 , 0.928 ,-0.032 , 0.015 , 0.060 , 0.732 , 0.656 , 0.036 , 0.071 
" 2,014 ",LPB, 0.005 , 0.064 , 0.927 ,-0.033 , 0.011 , 0.266 , 0.772 , 0.405 , 0.041 , 0.064 
" 2,015 ",LPB, 0.003 , 0.047 , 0.929 ,-0.032 , 0.011 , 0.067 , 0.740 , 0.516 , 0.006 , 0.070 
" 2,016 ",LPB, 0.009 , 0.133 , 0.941 ,-0.026 , 0.009 , 0.319 , 0.811 , 0.555 , 0.027 , 0.067 
" 2,017 ",LPB, 0.009 , 0.154 , 0.943 ,-0.026 , 0.009 , 0.152 , 0.823 , 0.608 , 0.035 , 0.069 
" 2,018 ",LPB, 0.006 , 0.098 , 0.942 ,-0.026 , 0.008 , 0.071 , 0.771 , 0.672 , 0.035 , 0.075 
" 2,019 ",LPB, 0.008 , 0.140 , 0.938 ,-0.028 , 0.007 , 0.154 , 0.817 , 0.687 , 0.028 , 0.074 
" 2,020 ",LPB, 0.008 , 0.139 , 0.941 ,-0.026 , 0.007 , 0.199 , 0.853 , 0.719 , 0.032 , 0.029 
" 2,021 ",LPB, 0.011 , 0.185 , 0.942 ,-0.026 , 0.005 , 0.193 , 0.750 , 0.712 , 0.018 , 0.026 
" 2,022 ",LPB, 0.015 , 0.221 , 0.927 ,-0.033 , 0.005 , 0.133 , 0.766 , 0.704 , 0.032 , 0.081 
" 2,023 ",LPB, 0.016 , 0.192 , 0.911 ,-0.041 , 0.005 , 0.168 , 0.745 , 0.710 , 0.033 , 0.050 
" 2,024 ",LPB, 0.022 , 0.251 , 0.915 ,-0.039 , 0.005 , 0.328 , 0.666 , 0.644 , 0.036 , 0.071 
" 2,014 ",MBB, 0.013 , 0.152 , 0.914 ,-0.039 , 0.010 , 0.111 , 0.846 , 0.489 , 0.041 , 0.064 
" 2,015 ",MBB, 0.012 , 0.125 , 0.895 ,-0.048 , 0.009 , 0.103 , 0.832 , 0.540 , 0.006 , 0.070 
" 2,016 ",MBB, 0.012 , 0.116 , 0.896 ,-0.048 , 0.010 , 0.159 , 0.769 , 0.580 , 0.027 , 0.067 
" 2,017 ",MBB, 0.012 , 0.124 , 0.906 ,-0.043 , 0.008 , 0.225 , 0.721 , 0.580 , 0.035 , 0.069 
" 2,018 ",MBB, 0.018 , 0.194 , 0.906 ,-0.043 , 0.007 , 0.154 , 0.693 , 0.584 , 0.035 , 0.075 
" 2,019 ",MBB, 0.021 , 0.218 , 0.903 ,-0.044 , 0.007 , 0.136 , 0.727 , 0.601 , 0.028 , 0.074 
" 2,020 ",MBB, 0.019 , 0.191 , 0.899 ,-0.046 , 0.009 , 0.203 , 0.731 , 0.594 , 0.032 , 0.029 
" 2,021 ",MBB, 0.024 , 0.235 , 0.897 ,-0.047 , 0.008 , 0.227 , 0.744 , 0.584 , 0.018 , 0.026 
" 2,022 ",MBB, 0.027 , 0.256 , 0.891 ,-0.050 , 0.007 , 0.200 , 0.741 , 0.616 , 0.032 , 0.081 
" 2,023 ",MBB, 0.025 , 0.239 , 0.898 ,-0.047 , 0.005 , 0.297 , 0.734 , 0.635 , 0.033 , 0.050 
" 2,024 ",MBB, 0.022 , 0.215 , 0.896 ,-0.048 , 0.005 , 0.195 , 0.747 , 0.678 , 0.036 , 0.071 
" 2,014 ",MSB, 0.001 , 0.015 , 0.909 ,-0.041 , 0.007 ,-0.026 , 0.641 , 0.220 , 0.041 , 0.064 
" 2,015 ",MSB, 0.001 , 0.010 , 0.869 ,-0.061 , 0.008 ,-0.001 , 0.632 , 0.264 , 0.006 , 0.070 
" 2,016 ",MSB, 0.001 , 0.010 , 0.853 ,-0.069 , 0.007 ,-0.112 , 0.667 , 0.374 , 0.027 , 0.067 
" 2,017 ",MSB, 0.001 , 0.009 , 0.878 ,-0.057 , 0.005 , 0.212 , 0.572 , 0.319 , 0.035 , 0.069 
" 2,018 ",MSB, 0.007 , 0.063 , 0.900 ,-0.046 , 0.002 , 0.227 , 0.522 , 0.347 , 0.035 , 0.075 
" 2,019 ",MSB, 0.007 , 0.073 , 0.905 ,-0.043 , 0.002 , 0.139 , 0.572 , 0.399 , 0.028 , 0.074 
" 2,020 ",MSB, 0.012 , 0.127 , 0.904 ,-0.044 , 0.002 , 0.126 , 0.562 , 0.444 , 0.032 , 0.029 
" 2,021 ",MSB, 0.021 , 0.207 , 0.892 ,-0.050 , 0.002 , 0.153 , 0.529 , 0.490 , 0.018 , 0.026 
" 2,022 ",MSB, 0.022 , 0.190 , 0.875 ,-0.058 , 0.002 , 0.045 , 0.605 , 0.560 , 0.032 , 0.081 
" 2,023 ",MSB, 0.019 , 0.160 , 0.883 ,-0.054 , 0.002 , 0.255 , 0.529 , 0.550 , 0.033 , 0.050 
" 2,024 ",MSB, 0.019 , 0.162 , 0.885 ,-0.053 , 0.001 , 0.199 , 0.549 , 0.542 , 0.036 , 0.071 
" 2,014 ",NAB, 0.006 , 0.057 , 0.911 ,-0.041 , 0.025 , 0.296 , 0.545 , 0.421 , 0.041 , 0.064 
" 2,015 ",NAB, 0.005 , 0.058 , 0.904 ,-0.044 , 0.024 ,-0.049 , 0.687 , 0.583 , 0.006 , 0.070 
" 2,016 ",NAB, 0.001 , 0.010 , 0.920 ,-0.036 , 0.019 , 0.208 , 0.796 , 0.552 , 0.027 , 0.067 
" 2,017 ",NAB, 0.005 , 0.067 , 0.933 ,-0.030 , 0.015 , 0.270 , 0.767 , 0.652 , 0.035 , 0.069 
" 2,018 ",NAB, 0.009 , 0.150 , 0.944 ,-0.025 , 0.011 , 0.379 , 0.757 , 0.667 , 0.035 , 0.075 
" 2,019 ",NAB, 0.009 , 0.159 , 0.948 ,-0.023 , 0.009 , 0.262 , 0.794 , 0.705 , 0.028 , 0.074 
" 2,020 ",NAB, 0.007 , 0.138 , 0.951 ,-0.022 , 0.007 , 0.419 , 0.783 , 0.658 , 0.032 , 0.029 
" 2,021 ",NAB, 0.010 , 0.196 , 0.948 ,-0.023 , 0.006 , 0.141 , 0.820 , 0.662 , 0.018 , 0.026 
" 2,022 ",NAB, 0.011 , 0.175 , 0.929 ,-0.032 , 0.006 , 0.159 , 0.774 , 0.666 , 0.032 , 0.081 
" 2,023 ",NAB, 0.014 , 0.188 , 0.927 ,-0.033 , 0.008 , 0.182 , 0.781 , 0.666 , 0.033 , 0.050 
" 2,024 ",NAB, 0.016 , 0.209 , 0.921 ,-0.036 , 0.009 , 0.168 , 0.728 , 0.676 , 0.036 , 0.071 
" 2,014 ",NVB, 0.000 , 0.003 , 0.913 ,-0.040 , 0.031 , 0.267 , 0.663 , 0.446 , 0.041 , 0.064 
" 2,015 ",NVB, 0.000 , 0.002 , 0.933 ,-0.030 , 0.024 , 0.309 , 0.710 , 0.419 , 0.006 , 0.070 
" 2,016 ",NVB, 0.000 , 0.003 , 0.953 ,-0.021 , 0.017 , 0.431 , 0.619 , 0.363 , 0.027 , 0.067 
" 2,017 ",NVB, 0.000 , 0.007 , 0.955 ,-0.020 , 0.019 , 0.041 , 0.712 , 0.442 , 0.035 , 0.069 
" 2,018 ",NVB, 0.001 , 0.011 , 0.955 ,-0.020 , 0.008 , 0.008 , 0.778 , 0.487 , 0.035 , 0.075 
